,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
125,138,138,다우기술 전기차충전소,경기 용인시 수지구 디지털벨리로 81,3,24,1,3,1,1,1,1,1,1,1,1,3,3,1,1,127.137298,37.33313847
126,139,139,양우내안에에듀퍼스트1 전기차충전소,경기 용인시 처인구 경안천로 196-1 203동,2,24,1,2,0,0,0,0,0,0,0,0,0,0,1,1,127.2211929,37.24918797
130,143,143,용인휴게소 강릉방향 전기차충전소,경기 용인시 처인구 양지면 주북리 958-5,0,24,1,2,0,0,1,1,1,2,0,0,0,0,1,0,127.2431195,37.24551135
133,146,146,용인수지우체국 전기차충전소,경기 용인시 수지구 문정로 3,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0968436,37.32124532
135,148,148,어반런드렛 전기차충전소,경기 용인시 기흥구 용구대로2469번길 47,4,9,1,4,1,1,1,1,1,0,0,0,0,0,0,0,127.1048714,37.31089938
138,151,151,동천동주민센터 전기차충전소,경기 용인시 수지구 신수로783번길 40,0,9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,127.099239,37.34186011
139,153,153,자연앤6단지3 전기차충전소,경기 용인시 기흥구 강남동로 46,2,24,1,2,1,1,1,1,0,2,0,1,0,0,1,1,127.1318498,37.2697067
140,154,154,신촌마을죽전스타클래스타운하우스5블럭,경기 용인시 기흥구 신촌로 78,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.1127154,37.30614318
141,155,155,상현도서관 전기차충전소,경기 용인시 수지구 법조로 232,0,9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.0742891,37.29996008
143,157,157,기아비전스퀘어 전기차충전소,경기 용인시 처인구 양지면 남평로326번길 11,4,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0,127.3118786,37.22157367
144,158,158,플랫폼시티아이브오피스텔 전기차충전소,경기 용인시 기흥구 용구대로2360번길 15,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.110283,37.29836313
145,159,159,용인서부경찰서 전기차충전소,경기 용인시 기흥구 보정동 1290,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.106614,37.30930597
146,160,160,서농동주민센터 전기차충전소,경기 용인시 기흥구 서천서로 79,0,24,1,1,0,0,0,0,0,1,0,0,0,0,0,0,127.0683832,37.23797804
147,161,161,양우내안애에듀퍼스트 전기차충전소,경기 용인시 처인구 경안천로 196-1,10,24,1,10,5,5,5,5,5,5,5,5,5,5,5,5,127.2211929,37.24918797
153,167,167,용인평온의숲 전기차충전소,경기 용인시 처인구 이동읍 평온의숲로 77,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2225342,37.11903789
156,170,170,죽전1동주민센터 전기차충전소,경기 용인시 수지구 죽전동 1070-9,0,9,1,1,0,0,0,0,1,1,1,0,0,0,1,0,127.1138652,37.33109719
