,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
53,53,동원로얄듀크,경기 용인시 기흥구 죽현로 12,10,24,1,0,13,13,13,13,13,13,13,13,13,13,13,13,127.1112254,37.31930861
54,54,용인실내체육관 전기차충전소,경기 용인시 처인구 경안천로 76,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.2135865,37.23853809
55,55,신봉동부센트레빌6단지아파트 전기차충전소,경기 용인시 수지구 신봉1로 216 지하2층 22,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.0649217,37.33318203
56,56,수지동문굿모닝힐5차아파트 전기차충전소,경기 용인시 수지구 동천로 64 501동~515동,13,24,1,13,5.2,2.6,0,0,0,0,0,2.6,4.333333333,4.333333333,2.6,2.6,127.0982987,37.34097275
57,57,용인 청안빌라 전기차충전소,경기 용인시 수지구 현암로89번길 18-14,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1191663,37.33256506
58,58,성복역 롯데캐슬파크나인 1차아파트,경기 용인시 수지구 성복1로 13,19,9,1,22,2.235294118,2.235294118,1.117647059,1.117647059,1.117647059,1.117647059,1.117647059,1.117647059,1.117647059,1.117647059,3.352941176,3.352941176,127.0737914,37.31087419
59,59,워시홀릭 전기차충전소,경기 용인시 기흥구 보정동 375-11,0,24,1,4,0,0,0,1,2,0,2,2,2,2,2,2,127.1055203,37.32091785
60,60,상현마을쌍용아파트A단지 3 전기차충전소,경기 용인시 수지구 상현로 27,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0765339,37.30340079
61,61,신봉동부센트레빌1단지 전기차충전소,경기 용인시 수지구 신봉1로172번길 8,5,24,1,5,1,1,1,1,1,0,0,0,0,0,0,0,127.0696482,37.32878654
62,62,수지센트럴아이파크아파크 전기차충전소,경기 용인시 수지구 상현로 101,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0833161,37.30762081
