,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd,car_coverage,countcust_coverage
10,14,19,19,기아오토큐 용인기아서비스 전기차충전소,경기 용인시 처인구 양지면 양지로 91,0,24,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,127.2782913,37.2340486,5.398922886271081,1743.1209916720468
11,15,20,20,에버랜드 셔틀버스 주차장 전기차충전소,경기 용인시 처인구 포곡읍 전대리 210-16,6,24,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.2178189,37.28736299,7.933111179826894,2561.3206408242318
12,19,25,25,용인시 용인중앙시장제1공영주차장,경기 용인시 처인구 금령로71번길 12-29,0,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.2052506,37.23663279,1.3221851966378158,426.8867734707053
13,20,27,27,용인 더숨포레스트 전기차충전소,경기 용인시 처인구 포곡읍 성산로 633,2,24,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.2078735,37.28713147,5.729469185430536,1849.8426850397234
14,21,28,28,파크존 스크린골프장 전기차충전소,경기 용인시 수지구 신봉1로 313-4,2,9,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0548682,37.332001,2.69946144313554,871.5604958360233
15,22,29,29,한국민속촌 주차장 전기차충전소,경기 용인시 기흥구 민속촌로 93,5,9,1,8,3.0,3.0,3.0,3.0,5.0,4.0,8.0,7.0,4.0,4.0,2.0,6.0,127.114696,37.25720972,20.066914911471848,6478.8961348626835
16,23,30,30,롯데프리미엄아울렛 기흥점 테슬라전용,경기 용인시 기흥구 신고매로 124,0,24,1,12,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,127.1209127,37.22537006,113.70792691085217,36712.26251848066
17,26,33,33,용인휴게소 인천방향 전기차충전소,경기 용인시 처인구 주북로 66-14,0,24,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.2383059,37.24836239,18.951321151808692,6118.710419746776
18,28,35,35,나인무인텔 전기차충전소,경기 용인시 처인구 원삼면 좌찬로 142,2,24,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.3204022,37.20829086,2.6443703932756315,853.7735469414106
19,30,37,37,녹십자홀딩스 전기차충전소,경기 용인시 기흥구 이현로30번길 107 지하 주차장 전기실 부근,4,24,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,127.1004266,37.31777155,6.831290182628715,2205.5816629319775
